"title","year","metascore","userscore","director","genre"
Oldboy,2003,77,8.4,Chan-wook Park,action
Snowpiercer,2013,84,7.1,Bong Joon Ho,action
"3:10 to Yuma",2007,76,7.7,James Mangold,action
V for Vendetta,2005,62,8.2,James McTeigue,action
Inglorious Basterds,2009,69,8.3,Quentin Tarantino,action
"1917",2019,78,8.3,Sam Mendes,action
Platoon,1986,92,8.1,Oliver Stone,action
Dunkirk,2017,94,7.8,Christopher Nolan,action
Reservior Dogs,1992,79,8.3,Quentin Tarantino,action
Memento,2000,80,8.4,Christopher Nolan,thriller
Enemy,2013,61,6.9,Denis Villeneuve,thriller
No Country for Old Men,2007,91,8.1,Coen Brothers,thriller
The Usual Suspects,1995,77,8.5,Bryan Singer,thriller
Ex Machina,2014,78,7.7,Alex Garland,thriller
Das Boot,1981,86,8.3,Wolfgang Peterson,thriller
Donnie Darko,2001,88,8.0,Richard Kelly,thriller
The Prestige,2006,66,8.5,Christopher Nolan,thriller
Mullholland Drive,2001,85,7.9,David Lynch,thriller
Requiem for a Dream,2000,68,8.3,Darren Aronofsky,drama
Friday Night Lights,2004,70,7.2,Peter Berg,drama
Eternal Sunshine of the Spotless Mind,2004,89,8.3,Michel Gondry,drama
Fight Club,1999,66,8.8,David Fincher,drama
Midnight in Paris,2011,81,7.7,Woody Allen,drama
The Fighter,2010,79,7.8,David O. Russell,drama
Warrior,2011,71,8.2,Gavin OConnor,drama
Hara-Kiri: Death of a Samurai,2011,76,7.3,Takashi Mike,drama
Her,2013,90,8.0,Spike Jonze,drama
Being John Malkovich,1999,90,7.7,Spike Jonze,drama
Dazed and Confused,1993,78,7.6,Richard Linklater,Drama
American Psycho,2000,64,7.6,Mary Harron,Thriller
The Departed,2006,85,8.5,Martin Scorsese,Drama
The Machinist,2004,61,7.7,Brad Anderson,Drama
Shutter Island,2010,63,8.2,Martin Scorsese,Thriller
A Clockwork Orange,1971,77,8.3,Stanley Kubrick,Drama
Spirited Away,2001,96,8.6,Hayao Miyazaki,Drama
Full Metal Jacket,1987,76,8.3,Stanley Kubrick,Action
Gladiator,2000,67,8.5,Ridley Scott,Drama
The Matrix,1999,73,8.7,Wachowski Brothers,Action
Sin City,2005,74,8.0,Robert Rodriguez,Action
Alien,1979,89,8.4,Ridley Scott,Thriller
"1984",1984,67,7.1,Michael Radford,Drama
Blade Runner,1982,84,8.1,Ridley Scott,Action
The Thing,1982,57,8.1,Ridley Scott,Action
Scarface,1983,65,8.3,Brian De Palma,Action
The Lobster,2015,82,7.2,Yorgos Lanthimos,Drama
District 9,2009,81,7.9,Neill Blomkamp,Thriller
I Am Legend,2007,65,7.2,Francis Lawrence,Thriller
"300",2006,52,7.6,Zack Snyder,Action
The Godfather,1972,100,9.2,Francis Ford Coppala,Drama
Children of Men,2006,84,7.9,Alfonso Curon,Drama
Pans Labrynth,2006,98,8.2,Guillermo del Toro,Drama
The Silence of the Lambs,1991,85,8.6,Jonathan Demme,Thriller
Logan,2017,77,8.1,James Mangold,Drama
The Revenant,2015,76,8.0,Alejandro G. Inarritu,Drama
Looper,2012,84,7.4,Rian Johnson,Thriller
The Witch,2015,83,6.9,Robet Eggers,Thriller
Troy,2004,56,7.3,Wolfgang Peterson,Action
Braveheart,1995,68,8.3,Mel Gibson,Drama
Casablanca,1942,100,8.5,Michael Curtiz,Drama
Taxi Driver,1976,94,8.3,Martin Scorsese,Drama
A Beautiful Mind,2001,72,8.2,Ron Howard,Drama
The Imitation Game,2014,73,8.0,Morten Tyldum,Drama
The Shining,2014,66,8.4,Stanley Kubrick,Thriller
Mad Max: Fury Road,2015,90,8.1,George Miller,Thriller
The Princess Bride,1987,77,8.0,Rob Reiner,Drama
